

NCAA Football
Division FBS
Total Offense
Through Games 12/05/2015
  Rank Name                           G W-L               Plays         YDS    Yds/Play     Off TDs         TDs         YPG 
     1 Baylor                        12 9-3                1001        7255        7.25          78          44       604.6 
     2 Texas Tech                    12 7-5                1002        7134        7.12          69          69       594.5 
     3 TCU                           12 10-2                984        6772        6.88          60          40       564.3 
     4 Bowling Green                 13 10-3               1073        7293        6.80          77          42       561.0 
     5 Cincinnati                    12 7-5                 996        6713        6.74          53          45       559.4 
     6 Oregon                        12 9-3                 910        6578        7.23          62          57       548.2 
     7 Oklahoma                      12 11-1                937        6515        6.95          68          30       542.9 
     8 California                    12 7-5                 918        6293        6.86          53          43       524.4 
     9 Southern Miss.                13 9-4                 964        6758        7.01          67          37       519.8 
    10 Western Ky.                   13 11-2                940        6757        7.19          74          43       519.8 
    11 Ole Miss                      12 9-3                 880        6177        7.02          58          31       514.8 
    12 Clemson                       13 13-0               1032        6638        6.43          60          33       510.6 
    13 Memphis                       12 9-3                 960        6125        6.38          59          42       510.4 
    14 Tulsa                         12 6-6                1000        6033        6.03          51          59       502.8 
    15 Arizona                       12 6-6                 936        5931        6.34          52          55       494.3 
    16 Indiana                       12 6-6                 954        5889        6.17          49          60       490.8 
    17 Oklahoma St.                  12 10-2                902        5874        6.51          58          45       489.5 
    18 Boise St.                     12 8-4                 982        5866        5.97          53          32       488.8 
    19 North Carolina                13 11-2                864        6330        7.33          66          37       486.9 
       Houston                       13 12-1               1002        6330        6.32          63          33       486.9 
    21 Western Mich.                 12 7-5                 862        5771        6.69          52          45       480.9 
    22 Washington St.                12 8-4                 954        5723        6.00          47          43       476.9 
    23 Arizona St.                   12 6-6                 986        5686        5.77          45          50       473.8 
    24 UCLA                          12 8-4                 912        5671        6.22          45          34       472.6 
    25 Notre Dame                    12 10-2                794        5658        7.13          50          35       471.5 
    26 Appalachian St.               12 10-2                827        5648        6.83          54          26       470.7 
    27 Louisiana Tech                12 8-4                 836        5589        6.69          50          39       465.8 
    28 West Virginia                 12 7-5                 967        5560        5.75          46          32       463.3 
    29 Toledo                        11 9-2                 841        5096        6.06          46          27       463.3 
